"","cohort","mouse","day","protein"
"642",57,"mouse4","day19",9.95958013920428
"643",57,"mouse4","day6",9.08064754094192
"644",57,"mouse4","day4",8.3662491130856
"645",57,"mouse4","day7",8.76654898925182
"646",58,"mouse4","day13",8.21275803374797
"647",58,"mouse4","pair1",7.43079024123783
"648",58,"mouse4","day19",8.96935660336002
"649",58,"mouse4","day9",9.22495707797588
"650",58,"mouse4","pair2",8.09012224218101
"651",58,"mouse4","pair3",7.45488565644151
"652",58,"mouse4","day1",9.57319888089091
"653",58,"mouse4","day15",8.49329604996647
"654",58,"mouse4","day17",9.01871596247067
"655",58,"mouse4","day6",8.24400797479604
"656",58,"mouse4","day7",8.11743312693964
"657",58,"mouse4","day5",6.62359349995788
"658",58,"mouse4","day2",8.59895515816292
"659",58,"mouse4","day11",7.9145185672341
"660",58,"mouse4","day4",6.98258248184323
"661",58,"mouse4","day3",4.96215758598393
"662",53,"mouse5","day9",9.024681615
"663",53,"mouse5","day10",6.629873377
"664",53,"mouse5","day6",7.367885633
"665",53,"mouse5","day3",10.15145446
"666",53,"mouse5","day4",8.987932583
"667",53,"mouse5","day7",9.104751478
"668",53,"mouse5","pair1",8.31223725
"669",53,"mouse5","pair2",7.820351838
"670",53,"mouse5","day17",10.42828602
